GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
studit,studit.core.chatbot,Message,12,63,1,3,4,14,2,5,1,4
studit,studit.core.chatbot,KeyboardLinker,0,51,0,4,0,11,0,5,0,3
studit,studit.core.chatbot,ChatbotManager.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
studit,studit.core.chatbot,Chatbot,73,0,0,0,20,0,4,0,4,0
studit,studit.core.chatbot,ChatbotManager,20,154,3,3,8,25,3,4,0,4
studit,studit.core.mainpage,CourseList,112,0,4,0,32,0,13,0,11,0
studit,studit.core.mainpage,CourseItem,31,0,0,0,13,0,9,0,9,0
studit,studit.core.mainpage,CourseListItem,9,0,0,0,4,0,2,0,2,0
studit,studit.json,CourseListSerializer,27,0,2,0,9,0,3,0,2,0
studit,studit.json,CourseListManager,62,30,0,0,12,6,1,2,1,2
studit,studit.json,CourseListManager.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
studit,studit.json,CourseModule,19,0,0,0,4,0,1,0,1,0
studit,studit.json,CourseItemSerializer,32,0,0,0,11,0,2,0,2,0
studit,studit.core,LoginManager,18,53,1,1,8,14,3,5,2,5
studit,studit.ui,CourseController,8,0,0,0,3,0,2,0,2,0
studit,studit.ui,ChatbotController.new ListCell() {...},139,0,4,0,25,0,4,0,2,0
studit,studit.ui,NyttFagController,55,0,0,0,17,0,4,0,4,0
studit,studit.ui,LoginApp,25,0,0,0,8,0,3,0,3,0
studit,studit.ui,App,36,0,0,0,10,0,3,0,3,0
studit,studit.ui,ChatbotController,179,3,8,0,42,1,14,1,10,1
studit,studit.ui,AppController.new EventHandler() {...},53,0,0,0,14,0,2,0,2,0
studit,studit.ui,LoginController,51,0,2,0,17,0,4,0,3,0
studit,studit.ui,AppController,137,0,8,0,37,0,14,0,10,0
